2026-02-01 13:39:12,784 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:12,786 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:12] "GET /api/me HTTP/1.1" 200 -
2026-02-01 13:39:12,794 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:12] "GET /api/ai/status HTTP/1.1" 200 -
2026-02-01 13:39:12,804 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:12,804 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:12,805 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:12,807 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:12] "GET /api/me HTTP/1.1" 200 -
2026-02-01 13:39:12,808 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:12] "GET /api/me HTTP/1.1" 200 -
2026-02-01 13:39:12,809 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:12] "GET /api/me HTTP/1.1" 200 -
2026-02-01 13:39:13,761 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:13,791 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:13] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-02-01 13:39:13,808 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:13,813 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:13] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-02-01 13:39:13,832 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:13,832 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:13,833 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:13,840 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:13] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-02-01 13:39:13,843 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:13] "GET /api/settings?scope=all HTTP/1.1" 200 -
