2026-01-30 01:06:10,696 | INFO | advanced_flashcards | [READY] Advanced Flashcards WebApp started successfully. Open: http://127.0.0.1:8009 • http://192.168.0.129:8009
2026-01-31 00:36:14,433 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:36:14] "GET /api/counts?&deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-01-31 00:36:14,433 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:36:14,449 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:36:14] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-01-31 00:36:14,449 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/health ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:36:14,449 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:36:14,449 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:36:14,449 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:36:14] "GET /api/health HTTP/1.1" 200 -
2026-01-31 00:36:14,449 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:36:14] "GET /api/ai HTTP/1.1" 200 -
2026-01-31 00:36:14,464 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:36:14] "GET /api/counts?&deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-01-31 00:36:14,480 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/cards ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
